product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
43541891,Sensiderm Krem 50 Gr-2 Adet Skt:01/2022,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,35.59365,2021-02-19 16:20:14,2021-02-19 16:20:14
4491202,Aqualia Thermal Tüm Cilt Tipleri Için Nemlendirici Gece Bakım Kremi 50 Ml 3337875588225,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,50.8972,2021-02-16 07:00:54,2021-02-16 07:00:54
48424027,Lavanta Zambak Kokulu Banyo Köpüğü Paketi,629,Duş Jeli ve Kremleri,Duş Jeli ve Kremleri,100172,Cilt Bakım,UNKNOWN,18.536209999999997,2021-02-19 18:40:44,2021-02-19 18:40:44
34926989,Tuscan Sunset Duş Jeli,629,Duş Jeli ve Kremleri,Duş Jeli ve Kremleri,100172,Cilt Bakım,UNKNOWN,5.058769,2021-02-18 18:00:18,2021-02-18 18:00:18
662214,Nailactan Besleyici Tırnak Kremi 15 ml,748,El & Tırnak Bakımı,El & Tırnak Bakımı,100172,Cilt Bakım,UNKNOWN,54.934586,2021-02-15 13:41:18,2021-02-15 13:41:18
3270610,Tırnak Makası 608 Ag 8697888005269,748,El & Tırnak Bakımı,El & Tırnak Bakımı,100172,Cilt Bakım,UNKNOWN,5.485205,2021-02-19 14:40:14,2021-02-19 14:40:14
35321712,Dr. C. Tuna Aynısefa Yağı El Kremi-75ml 4 Adet,748,El & Tırnak Bakımı,El & Tırnak Bakımı,100172,Cilt Bakım,UNKNOWN,18.928255999999998,2021-02-16 22:20:13,2021-02-16 22:20:13
32433457,Takma Tırnak Seti Pr-5658 Gül Kurusu,748,El & Tırnak Bakımı,El & Tırnak Bakımı,100172,Cilt Bakım,UNKNOWN,13.412099999999999,2021-02-15 13:41:18,2021-02-15 13:41:18
37414555,Aloe Vera Jel Göz Çevresi Bakım Kremi 50 ml,2161,Göz Bakım Ürünleri,Göz Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,13.48088,2021-02-14 14:00:17,2021-02-14 14:00:17
38649612,Atoderm Intensive Eye 100ml Set,2161,Göz Bakım Ürünleri,Göz Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,43.17664499999999,2021-02-15 20:40:13,2021-02-15 20:40:13
31735663,Hydraskin Eye Cream Gel 15 ml - Göz Kremi,2161,Göz Bakım Ürünleri,Göz Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,75.27971,2021-02-19 13:02:18,2021-02-19 13:02:18
49370834,Göz Altı Bakım Kremi,2161,Göz Bakım Ürünleri,Göz Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,22.319110000000002,2021-02-15 04:00:19,2021-02-15 04:00:19
42507926,Kirpik Lifting Seti Kirpik Perma Seti Lash Lift (Full Set),2161,Göz Bakım Ürünleri,Göz Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,55.50546,2021-02-17 16:22:29,2021-02-17 16:22:29
32881022,Çocuk Diş Fırçası - Eurofresh Hero Kids Pembe 8690131416386,3276,Manuel Diş Fırçası,Manuel Diş Fırçası,100172,Cilt Bakım,UNKNOWN,3.435561,2021-02-18 11:40:16,2021-02-18 11:40:16
39628283,Luna Mini 2 Pearlpink Cilt Temizleme Cihazı,2857,Yüz Temizleme Cihazı,Yüz Temizleme Cihazı,100172,Cilt Bakım,NoColor-a55c2c28,7.2219,2021-02-16 05:40:13,2021-02-16 05:40:13
81540076,Tender Care Nar Özlü Koruyucu Balm,611,Dudak Bakım Ürünleri,Dudak Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,3.439,2021-02-17 14:00:17,2021-02-17 14:00:17
46268636,Lip Balm No3,611,Dudak Bakım Ürünleri,Dudak Bakım Ürünleri,100172,Cilt Bakım,UNKNOWN,5.33045,2021-02-15 21:00:16,2021-02-15 21:00:16
40090435,Genital Bölge Rahatlatıcı Yıkama Jeli - Soothing  Intimate Wash 250 ml x 2 5010724554402,1602,Genital Temizlik Ürünü,Genital Temizlik Ürünü,100172,Cilt Bakım,UNKNOWN,22.319110000000002,2021-02-16 20:20:54,2021-02-16 20:20:54
